RAND_MAX: 2147483647
NUM_MAX:  500000000
UINT_MAX: 4294967295
Semilla:  1

1) Numero: 5487, Intentos: 90925802, Tiempo: 23.988055, Proceso: 4
2) Numero: 12255, Intentos: 148268452, Tiempo: 25.290047, Proceso: 2
3) Numero: 12540, Intentos: 142787616, Tiempo: 37.606158, Proceso: 7
4) Numero: 1254, Intentos: 242134464, Tiempo: 40.904146, Proceso: 1
5) Numero: 1478, Intentos: 286575772, Tiempo: 50.017148, Proceso: 3
6) Numero: 54125, Intentos: 92192955, Tiempo: 23.632559, Proceso: 7
7) Numero: 13255, Intentos: 113149291, Tiempo: 19.740797, Proceso: 3
8) Numero: 14282, Intentos: 40893529, Tiempo: 10.604114, Proceso: 7
9) Numero: 95699, Intentos: 8402027, Tiempo: 2.144537, Proceso: 7
10) Numero: 54387, Intentos: 44511428, Tiempo: 7.659279, Proceso: 3
11) Numero: 12549, Intentos: 137325, Tiempo: 0.021774, Proceso: 3
12) Numero: 87375, Intentos: 95206132, Tiempo: 24.478796, Proceso: 7
13) Numero: 12, Intentos: 402559611, Tiempo: 67.924642, Proceso: 1
14) Numero: 96042, Intentos: 559475142, Tiempo: 95.825750, Proceso: 2
15) Numero: 54125, Intentos: 92192955, Tiempo: 15.546406, Proceso: 1
16) Numero: 80775, Intentos: 463214330, Tiempo: 129.487285, Proceso: 6
17) Numero: 96602, Intentos: 171368506, Tiempo: 45.169305, Proceso: 7
18) Numero: 50699, Intentos: 608871617, Tiempo: 161.005757, Proceso: 5
19) Numero: 25148, Intentos: 573150457, Tiempo: 164.770826, Proceso: 4
20) Numero: 2548, Intentos: 672803005, Tiempo: 121.250497, Proceso: 3
21) Numero: 87475, Intentos: 45404815, Tiempo: 11.678618, Proceso: 4
22) Numero: 85699, Intentos: 235610159, Tiempo: 64.361478, Proceso: 5
23) Numero: 21548, Intentos: 138783999, Tiempo: 36.340146, Proceso: 4
24) Numero: 24782, Intentos: 400130984, Tiempo: 110.265220, Proceso: 6
25) Numero: 96942, Intentos: 65527625, Tiempo: 16.952659, Proceso: 5
