Agente,Módulo,Datos,Fecha/Hora
"ldap1","disk_home_free","63.00","2014-05-24 12:09:59"
"ldap1","disk_home_free","63.00","2014-05-26 10:22:53"
"ldap1","disk_home_free","63.00","2014-05-27 10:25:52"
"ldap1","disk_home_free","63.00","2014-05-28 10:30:15"
"ldap1","disk_home_free","63.00","2014-05-29 10:31:54"
"ldap1","disk_home_free","63.00","2014-05-30 10:34:02"
"ldap1","disk_home_free","63.00","2014-05-31 10:35:30"
"ldap1","disk_home_free","63.00","2014-06-01 10:36:58"
"ldap1","disk_home_free","63.00","2014-06-02 10:38:13"
"ldap1","disk_home_free","63.00","2014-06-03 10:39:45"
"ldap1","disk_home_free","63.00","2014-06-04 10:41:56"
"ldap1","disk_home_free","63.00","2014-06-05 10:43:43"
"ldap1","disk_home_free","63.00","2014-06-06 10:45:00"
"ldap1","disk_home_free","63.00","2014-06-07 10:46:27"
"ldap1","disk_home_free","63.00","2014-06-08 10:47:43"
"ldap1","disk_home_free","63.00","2014-06-09 10:48:24"
"ldap1","disk_home_free","63.00","2014-06-10 10:49:59"
"ldap1","disk_home_free","63.00","2014-06-11 10:51:40"
"ldap1","disk_home_free","63.00","2014-06-12 10:53:05"
"ldap1","disk_home_free","63.00","2014-06-13 10:54:25"
"ldap1","disk_home_free","62.00","2014-06-13 12:00:09"
"ldap1","disk_home_free","63.00","2014-06-13 12:25:27"
"ldap1","disk_home_free","63.00","2014-06-14 12:27:32"
"ldap1","disk_home_free","63.00","2014-06-15 12:28:53"
"ldap1","disk_home_free","62.00","2014-06-16 9:28:09"
"ldap1","disk_home_free","63.00","2014-06-16 9:58:29"
"ldap1","disk_home_free","63.00","2014-06-17 10:00:26"
"ldap1","disk_home_free","63.00","2014-06-18 10:01:53"
"ldap1","disk_home_free","62.00","2014-06-18 10:57:30"
"ldap1","disk_home_free","63.00","2014-06-18 14:34:59"
"ldap1","disk_home_free","62.00","2014-06-18 14:40:02"
"ldap1","disk_home_free","63.00","2014-06-18 15:25:34"
"ldap1","disk_home_free","62.00","2014-06-18 15:30:37"
"ldap1","disk_home_free","63.00","2014-06-18 16:06:02"
"ldap1","disk_home_free","62.00","2014-06-18 16:11:06"
"ldap1","disk_home_free","63.00","2014-06-18 19:28:19"
"ldap1","disk_home_free","62.00","2014-06-18 19:33:23"
"ldap1","disk_home_free","63.00","2014-06-18 20:03:44"
"ldap1","disk_home_free","62.00","2014-06-18 20:08:47"
"ldap1","disk_home_free","63.00","2014-06-19 15:17:28"
"ldap1","disk_home_free","63.00","2014-06-20 15:19:09"
"ldap1","disk_home_free","63.00","2014-06-21 15:21:30"
"ldap1","disk_home_free","63.00","2014-06-22 15:23:01"
