Agente,Módulo,Datos,Fecha/Hora
"ldap1","Test&#x20;de&#x20;resolucion&#x20;en&#x20;DNS&#x20;de&#x20;ldap1","1.00","2014-05-24 17:18:26"
"ldap1","Test&#x20;de&#x20;resolucion&#x20;en&#x20;DNS&#x20;de&#x20;ldap1","1.00","2014-05-26 10:22:53"
"ldap1","Test&#x20;de&#x20;resolucion&#x20;en&#x20;DNS&#x20;de&#x20;ldap1","0.00","2014-05-26 11:23:40"
"ldap1","Test&#x20;de&#x20;resolucion&#x20;en&#x20;DNS&#x20;de&#x20;ldap1","0.00","2014-05-27 11:26:33"
"ldap1","Test&#x20;de&#x20;resolucion&#x20;en&#x20;DNS&#x20;de&#x20;ldap1","0.00","2014-05-28 11:30:57"
"ldap1","Test&#x20;de&#x20;resolucion&#x20;en&#x20;DNS&#x20;de&#x20;ldap1","0.00","2014-05-29 11:32:35"
"ldap1","Test&#x20;de&#x20;resolucion&#x20;en&#x20;DNS&#x20;de&#x20;ldap1","1.00","2014-05-29 15:50:34"
"ldap1","Test&#x20;de&#x20;resolucion&#x20;en&#x20;DNS&#x20;de&#x20;ldap1","0.00","2014-05-29 15:55:58"
"ldap1","Test&#x20;de&#x20;resolucion&#x20;en&#x20;DNS&#x20;de&#x20;ldap1","0.00","2014-05-30 15:57:45"
"ldap1","Test&#x20;de&#x20;resolucion&#x20;en&#x20;DNS&#x20;de&#x20;ldap1","0.00","2014-05-31 15:59:14"
"ldap1","Test&#x20;de&#x20;resolucion&#x20;en&#x20;DNS&#x20;de&#x20;ldap1","0.00","2014-06-01 16:00:38"
"ldap1","Test&#x20;de&#x20;resolucion&#x20;en&#x20;DNS&#x20;de&#x20;ldap1","0.00","2014-06-02 16:01:54"
"ldap1","Test&#x20;de&#x20;resolucion&#x20;en&#x20;DNS&#x20;de&#x20;ldap1","0.00","2014-06-03 16:03:25"
"ldap1","Test&#x20;de&#x20;resolucion&#x20;en&#x20;DNS&#x20;de&#x20;ldap1","0.00","2014-06-04 16:05:59"
"ldap1","Test&#x20;de&#x20;resolucion&#x20;en&#x20;DNS&#x20;de&#x20;ldap1","0.00","2014-06-05 16:07:22"
"ldap1","Test&#x20;de&#x20;resolucion&#x20;en&#x20;DNS&#x20;de&#x20;ldap1","0.00","2014-06-06 16:08:38"
"ldap1","Test&#x20;de&#x20;resolucion&#x20;en&#x20;DNS&#x20;de&#x20;ldap1","0.00","2014-06-07 16:10:04"
